Node	Mode	GD event count	Node loss count	P2_0	P2_1	P1_0
SOL	parsimony	0	6	0	6	0
CUC	parsimony	0	13	1	12	0
MIM	parsimony	0	10	0	10	0
POP	parsimony	0	4	0	3	1
LIR	parsimony	0	4	0	4	0
ARH	parsimony	0	5	0	5	0
ACT	parsimony	0	17	0	17	0
CER	parsimony	0	1	0	1	0
VIT	parsimony	0	4	0	3	1
COF	parsimony	0	6	0	6	0
MAR	parsimony	0	5	0	5	0
GIN	parsimony	0	9	0	9	0
ARA	parsimony	0	14	1	13	0
NYM	parsimony	0	12	0	12	0
HEL	parsimony	0	12	0	11	1
AMB	parsimony	0	6	0	6	0
CIN	parsimony	0	7	0	7	0
DUN	parsimony	0	1	0	1	0
CEC	parsimony	0	5	0	5	0
MED	parsimony	0	15	0	14	1
ARD	parsimony	0	20	0	20	0
AQU	parsimony	0	6	0	6	0
ARI	parsimony	0	25	4	21	0
GLY	parsimony	0	2	0	2	0
BRA	parsimony	0	2	0	2	0
ASP	parsimony	0	9	0	9	0
PHA	parsimony	0	7	0	6	1
S28	parsimony	3	0	0	0	0
S27	parsimony	11	2	0	2	0
S26	parsimony	3	1	0	1	0
S25	parsimony	18	1	0	1	0
S24	parsimony	11	2	0	2	0
S23	parsimony	0	1	0	1	0
S22	parsimony	2	3	0	3	0
S21	parsimony	0	1	0	1	0
S20	parsimony	3	3	0	3	0
S19	parsimony	19	1	0	1	0
S18	parsimony	0	3	0	3	0
S16	parsimony	0	1	0	0	1
S15	parsimony	4	6	1	5	0
S14	parsimony	44	2	0	2	0
S13	parsimony	65	8	0	8	0
S12	parsimony	3	2	0	2	0
S11	parsimony	3	11	0	11	0
S10	parsimony	4	2	0	1	1
S9	parsimony	0	4	0	4	0
S8	parsimony	0	5	0	5	0
S7	parsimony	0	2	0	2	0
S6	parsimony	0	1	0	1	0
S5	parsimony	1	4	0	4	0
S4	parsimony	0	3	0	3	0
S3	parsimony	2	3	0	3	0
S2	parsimony	7	5	0	5	0
S1	parsimony	36	5	0	5	0
S0	parsimony	4	0	0	0	0
