Node	Mode	GD event count	Node loss count	C2_0	C2_1	C1_0
CUC	accumulate	0	13	1	12	0
PHA	accumulate	0	7	0	6	1
DUN	accumulate	0	1	0	1	0
CER	accumulate	0	1	0	1	0
GLY	accumulate	0	2	0	2	0
GIN	accumulate	0	9	0	9	0
ARD	accumulate	0	20	0	20	0
ACT	accumulate	0	18	0	18	0
ARI	accumulate	0	26	4	22	0
COF	accumulate	0	6	0	6	0
LIR	accumulate	0	4	0	4	0
ARH	accumulate	0	6	0	6	0
ASP	accumulate	0	10	0	10	0
CIN	accumulate	0	7	0	7	0
POP	accumulate	0	5	0	4	1
SOL	accumulate	0	6	0	6	0
MIM	accumulate	0	10	0	10	0
AMB	accumulate	0	6	0	6	0
HEL	accumulate	0	12	0	11	1
ARA	accumulate	0	15	1	14	0
BRA	accumulate	0	2	0	2	0
NYM	accumulate	0	12	0	12	0
MAR	accumulate	0	5	0	5	0
VIT	accumulate	0	4	0	3	1
MED	accumulate	0	15	0	14	1
CEC	accumulate	0	5	0	5	0
AQU	accumulate	0	6	0	6	0
S28	accumulate	3	0	0	0	0
S27	accumulate	11	56	0	56	0
S26	accumulate	3	27	0	27	0
S25	accumulate	18	26	0	26	0
S24	accumulate	11	50	0	50	0
S23	accumulate	0	24	0	24	0
S22	accumulate	2	69	0	69	0
S21	accumulate	0	20	0	20	0
S20	accumulate	3	54	0	54	0
S19	accumulate	19	17	0	17	0
S18	accumulate	0	36	0	36	0
S16	accumulate	0	9	0	0	9
S15	accumulate	4	42	7	35	0
S14	accumulate	44	12	0	12	0
S13	accumulate	65	24	0	24	0
S12	accumulate	3	2	0	2	0
S11	accumulate	3	33	0	33	0
S10	accumulate	4	4	0	2	2
S9	accumulate	0	8	0	8	0
S8	accumulate	0	8	0	8	0
S7	accumulate	0	5	0	5	0
S6	accumulate	0	8	0	8	0
S5	accumulate	1	12	0	12	0
S4	accumulate	0	6	0	6	0
S3	accumulate	2	6	0	6	0
S2	accumulate	7	12	0	12	0
S1	accumulate	36	12	0	12	0
S0	accumulate	4	0	0	0	0
